Company,sites,total_capacity_MW,total_MWh,total_tCO2,ercot_capacity_MW,ercot_MWh,weighted_g_per_kWh,ercot_capacity_share_%,ercot_energy_share_%
Bitdeer (BTDR),3,689.0,5552788.800000001,1880322.165774833,0.0,0.0,338.6266313198933,0.0,0.0
Hut 8 (HUT),5,502.0,3167616.0,341766.15003973513,343.0,2224689.6,107.89380721644768,68.3,70.2
Iris Energy (IREN),4,360.0,2901312.0,583107.4209170428,200.0,1611840.0,200.9805980594444,55.6,55.6
Cipher Mining (CIFR),4,327.0,2236428.0,782215.1916556284,0.0,0.0,349.76095436813904,0.0,0.0
TeraWulf (WULF),2,245.0,1598700.0,269074.40860927134,0.0,0.0,168.3082558386635,0.0,0.0
Bitfarms (BITF),9,240.0,1934208.0,254231.46018754967,0.0,0.0,131.43956605884662,0.0,0.0
HIVE Digital (HIVE),6,79.8,643124.16,9342.22464,0.0,0.0,14.526315789473681,0.0,0.0
