Company,Site,Country,Zone,Report_Year,Capacity_MW,LoadFactor_assumed_percent,Est_Annual_MWh,Grid_CO2_g_per_kWh,Est_CO2_t,CO2_Method,Provisional_Intensity,Source_URL,Intensity_Source_URL
HIVE Digital (HIVE),"Robertsfors, Sweden",Sweden,Statnett/SE (Nordic),2024,4.0,92.0,32236.800000000003,28.0,902.6304,Regional_proxy_official/peer_refs,False,https://www.sec.gov/Archives/edgar/data/1720424/000106299324012996/exhibit99-1.htm#TheHIVESwedenFacility,
Hut 8 (HUT),"Drumheller, AB (Canada) – non-operational 2024",Canada,AESO (Alberta),2024,42.0,0.0,0.0,540.0,0.0,Unspecified,False,https://www.wsj.com/articles/hut-8-closes-drumheller-bitcoin-mining-site-173a6b13,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
Hut 8 (HUT),"Medicine Hat, AB (Canada)",Canada,AESO (Alberta),2024,67.0,92.0,539966.4,540.0,291581.856,Unspecified,False,https://cdn.kscope.io/a9586e00f4def898c88970c4e8c60d97.pdf,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
Hut 8 (HUT),"King Mountain JV – McCamey, TX (USA)",USA,ERCOT (ERCT),2024,280.0,70.0,1716960.0,,,Unspecified,False,https://www.sec.gov/Archives/edgar/data/1964789/000110465923019807/tm235928-1_s4.htm,https://www.epa.gov/system/files/documents/2024-01/egrid2022_summary_tables.pdf
Hut 8 (HUT),"Salt Creek – Orla, TX (USA)",USA,ERCOT (ERCT),2024,63.0,92.0,507729.6,,,Unspecified,False,https://cdn.kscope.io/a9586e00f4def898c88970c4e8c60d97.pdf,https://www.epa.gov/system/files/documents/2024-01/egrid2022_summary_tables.pdf
Hut 8 (HUT),"Alpha – Niagara Falls, NY (USA)",USA,NYISO (NYUP)*,2024,50.0,92.0,402960.0,124.539145423206,50184.29403973508,Unspecified,False,https://cdn.kscope.io/a9586e00f4def898c88970c4e8c60d97.pdf,https://www.epa.gov/system/files/documents/2024-01/egrid2022_summary_tables.pdf
Iris Energy (IREN),"Canal Flats, BC (Canada)",Canada,BC Hydro (British Columbia),2024,30.0,92.0,241776.0,15.0,3626.64,,False,https://www.streetinsider.com/Corporate+News/Iris+Energy+(IREN)+Issues+September+2024+Monthly+Investor+Update/23803464.html,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
Iris Energy (IREN),"Mackenzie, BC (Canada)",Canada,BC Hydro (British Columbia),2024,80.0,92.0,644736.0,15.0,9671.04,,False,https://www.streetinsider.com/Corporate+News/Iris+Energy+(IREN)+Issues+September+2024+Monthly+Investor+Update/23803464.html,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
Iris Energy (IREN),"Prince George, BC (Canada)",Canada,BC Hydro (British Columbia),2024,50.0,92.0,402960.0,15.0,6044.4,,False,https://www.streetinsider.com/Corporate+News/Iris+Energy+(IREN)+Issues+September+2024+Monthly+Investor+Update/23803464.html,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
Iris Energy (IREN),"Childress, TX (USA) – Operating 200 MW in 2024 (Phase 1-2)",USA,ERCOT (ERCT),2024,200.0,92.0,1611840.0,349.765076507,563765.3409170428,,False,https://www.streetinsider.com/Corporate+News/Iris+Energy+(IREN)+Issues+September+2024+Monthly+Investor+Update/23803464.html,https://www.epa.gov/system/files/documents/2024-01/egrid2022_summary_tables.pdf
TeraWulf (WULF),"Lake Mariner, Somerset NY (USA)",USA,,2024,195.0,70.0,1195740.0,124.539145423206,148916.43774834432,eGRID_2022_total_output_rate,False,https://investors.terawulf.com/news-events/press-releases/detail/83/terawulf-announces-july-2024-production-and-operations,
TeraWulf (WULF),"Nautilus Cryptomine, PA (USA)",USA,,2024,50.0,92.0,402960.0,298.188333484532,120157.97086092702,eGRID_2022_total_output_rate,False,https://investors.terawulf.com/news-events/press-releases/detail/80/terawulf-announces-june-2024-production-and-operations,
